gbifID,family,species,lon,lat,year,country,institutionCode,identificationVerificationStatus
2918899422,Alcyoniidae,Alcyonium digitatum,-1.330974,54.85534,2016,United Kingdom,TWT,Accepted
2918899440,Alcyoniidae,Alcyonium digitatum,-1.28784,54.82905,2016,United Kingdom,TWT,Accepted
2918899917,Alcyoniidae,Alcyonium digitatum,-1.286081,54.84493,2016,United Kingdom,TWT,Accepted
2956475808,Alcyoniidae,Alcyonium digitatum,-7.278769,55.36744,2016,Ireland,Seasearch,Accepted - considered correct
2956477059,Alcyoniidae,Alcyonium digitatum,-5.267313,51.70423,2016,United Kingdom,Seasearch,Accepted - considered correct
2956477641,Alcyoniidae,Alcyonium digitatum,-4.950799,51.54682,2016,United Kingdom,Seasearch,Accepted - considered correct
2956503483,Alcyoniidae,Alcyonium digitatum,-5.665954,51.71865,2016,United Kingdom,Seasearch,Accepted - considered correct
2956527542,Alcyoniidae,Alcyonium digitatum,-5.666678,51.71973,2016,United Kingdom,Seasearch,Accepted - considered correct
2956541551,Alcyoniidae,Alcyonium digitatum,-0.384432,54.28206,2016,United Kingdom,Seasearch,Accepted - considered correct
2956552073,Alcyoniidae,Alcyonium digitatum,-8.311667,51.74353,2016,Ireland,Seasearch,Accepted - considered correct
2956555286,Alcyoniidae,Alcyonium digitatum,-5.664713,51.71799,2016,United Kingdom,Seasearch,Accepted - considered correct
2956605349,Alcyoniidae,Alcyonium digitatum,-4.914743,51.60564,2016,United Kingdom,Seasearch,Accepted - considered correct
2956612804,Alcyoniidae,Alcyonium digitatum,-6.255573,49.96173,2016,United Kingdom,Seasearch,Accepted - considered correct
2956632868,Alcyoniidae,Alcyonium digitatum,1.052538,52.96717,2016,United Kingdom,Seasearch,Accepted - considered correct
2956644253,Alcyoniidae,Alcyonium digitatum,1.054472,52.96523,2016,United Kingdom,Seasearch,Accepted - considered correct
2956646570,Alcyoniidae,Alcyonium digitatum,1.054473,52.96525,2016,United Kingdom,Seasearch,Accepted - considered correct
2956655761,Alcyoniidae,Alcyonium digitatum,-2.290263,50.61332,2016,United Kingdom,Seasearch,Accepted - considered correct
2956660945,Alcyoniidae,Alcyonium digitatum,-4.913372,51.60542,2016,United Kingdom,Seasearch,Accepted - considered correct
2956663944,Alcyoniidae,Alcyonium digitatum,-1.329889,54.90292,2016,United Kingdom,Seasearch,Accepted - considered correct
2956690126,Alcyoniidae,Alcyonium digitatum,-5.667787,51.71768,2016,United Kingdom,Seasearch,Accepted - considered correct
2956692117,Alcyoniidae,Alcyonium digitatum,-6.252412,49.94156,2016,United Kingdom,Seasearch,Accepted - considered correct
2956695500,Alcyoniidae,Alcyonium digitatum,-6.290078,49.90506,2016,United Kingdom,Seasearch,Accepted - considered correct
2956701024,Alcyoniidae,Alcyonium digitatum,0.0138,50.74249,2016,United Kingdom,Seasearch,Accepted - considered correct
2956839149,Alcyoniidae,Alcyonium digitatum,1.135047,52.95126,2016,United Kingdom,Seasearch,Accepted - considered correct
2956845203,Alcyoniidae,Alcyonium digitatum,1.134928,52.95126,2016,United Kingdom,Seasearch,Accepted - considered correct
2956887081,Alcyoniidae,Alcyonium digitatum,1.146005,52.94979,2016,United Kingdom,Seasearch,Accepted - considered correct
2956930351,Alcyoniidae,Alcyonium digitatum,-3.968645,50.29172,2016,United Kingdom,Seasearch,Accepted - considered correct
2956960621,Alcyoniidae,Alcyonium digitatum,1.139602,52.94979,2016,United Kingdom,Seasearch,Accepted - considered correct
2956990990,Alcyoniidae,Alcyonium digitatum,-4.829434,56.11767,2016,United Kingdom,Seasearch,Accepted - considered correct
2957009343,Alcyoniidae,Alcyonium digitatum,0.0124,50.72317,2016,United Kingdom,Seasearch,Accepted - considered correct
2957010001,Alcyoniidae,Alcyonium digitatum,-1.607374,55.64933,2016,United Kingdom,Seasearch,Accepted - considered correct
2957016608,Alcyoniidae,Alcyonium digitatum,-1.460193,55.08282,2016,United Kingdom,Seasearch,Accepted - considered correct
2957039206,Alcyoniidae,Alcyonium digitatum,-2.548806,56.18575,2016,United Kingdom,Seasearch,Accepted - considered correct
2957049297,Alcyoniidae,Alcyonium digitatum,1.142633,52.95083,2016,United Kingdom,Seasearch,Accepted - considered correct
2957130296,Alcyoniidae,Alcyonium digitatum,-4.822926,55.96019,2016,United Kingdom,Seasearch,Accepted - considered correct
2957144702,Alcyoniidae,Alcyonium digitatum,-0.195489,50.79485,2016,United Kingdom,Seasearch,Accepted - considered correct
2957144726,Alcyoniidae,Alcyonium digitatum,-6.278241,49.96957,2016,United Kingdom,Seasearch,Accepted - considered correct
2957146922,Alcyoniidae,Alcyonium digitatum,1.321549,51.05391,2016,United Kingdom,Seasearch,Accepted - considered correct
2957191156,Alcyoniidae,Alcyonium digitatum,-2.51868,50.5781,2016,United Kingdom,Seasearch,Accepted - considered correct
2957289025,Alcyoniidae,Alcyonium digitatum,1.054453,52.96518,2016,United Kingdom,Seasearch,Accepted - considered correct
2957300617,Alcyoniidae,Alcyonium digitatum,-4.908338,50.1906,2016,United Kingdom,Seasearch,Accepted - considered correct
2957352420,Alcyoniidae,Alcyonium digitatum,-2.583907,56.27948,2016,United Kingdom,Seasearch,Accepted - considered correct
2957355528,Alcyoniidae,Alcyonium digitatum,1.138469,52.95039,2016,United Kingdom,Seasearch,Accepted - considered correct
2957382934,Alcyoniidae,Alcyonium digitatum,1.138923,52.94987,2016,United Kingdom,Seasearch,Accepted - considered correct
