species,lon,lat
Eunicella verrucosa,-4.7881100000000005,48.24880999641521
Eunicella verrucosa,-2.8490199999999937,47.56279999620527
Eunicella verrucosa,-4.62134,48.25187999641615
Eunicella verrucosa,-2.8773900000000032,48.7033699965481
Eunicella verrucosa,-4.315779999999995,47.77933999627276
Eunicella verrucosa,-3.491670000000001,47.65499999623415
Eunicella verrucosa,-3.812299999999996,48.72472999655421
Eunicella verrucosa,-3.9001899999999967,48.70449999654839
Eunicella verrucosa,-3.2077799999999934,47.671389996239206
Eunicella verrucosa,-3.785520000000003,48.73221999655636
Eunicella verrucosa,-2.967050000000003,48.84638999658884
Eunicella verrucosa,-4.448949999999994,48.32044999643654
Eunicella verrucosa,-2.139549999999999,48.655279996534226
Eunicella verrucosa,-4.583330000000002,48.33332999644034
Eunicella verrucosa,-3.176549999999996,47.54389999619928
Eunicella verrucosa,-4.507799999999998,48.35691999644727
Eunicella verrucosa,-3.9240499999999927,48.70149999654756
Eunicella verrucosa,-4.518289999999998,48.19651999639959
Eunicella verrucosa,-4.375739999999997,47.78258999627374
Eunicella verrucosa,-3.6085000000000034,48.774369996568396
Eunicella verrucosa,-4.435730000000004,48.20213999640127
Eunicella verrucosa,-5.135119999999998,48.42981999646874
Eunicella verrucosa,-4.680000000000003,48.26999999642152
Eunicella verrucosa,-2.16694,46.62138999589834
Eunicella verrucosa,-4.452119999999997,48.20590999640244
Eunicella verrucosa,-2.1707700000000028,48.63626999652875
Eunicella verrucosa,-1.9083299999999985,49.59332999679386
Eunicella verrucosa,-3.628410000000003,48.76936999656699
Eunicella verrucosa,-3.603859999999993,48.74848999656102
Eunicella verrucosa,-2.888270000000001,48.700639996547324
Eunicella verrucosa,-2.330839999999996,48.68805999654372
Eunicella verrucosa,-4.468789999999997,48.319159996436156
Eunicella verrucosa,-5.135169999999995,48.447309996473905
Eunicella verrucosa,-3.4802600000000004,47.651429996233034
Eunicella verrucosa,-5.142399999999996,48.444899996473154
Eunicella verrucosa,-3.896669999999998,48.68666999654333
